,bed rooms,baths,square feet,address,price
0,2,2,1600,"333 S Desplaines Street Unit 706 Chicago, IL 60661",493000.0
1,4,2,4940,"6835 S Bennett Avenue Chicago, IL 60649",1599999.0
2,1,1,802,"850 N Dewitt Place Unit 4G Chicago, IL 60611",275000.0
3,3,3,2400,"10 E ONTARIO Street 5001-02 Chicago, IL 60611",1450000.0
4,4,4,3000,"5028 W Waveland Avenue Chicago, IL 60641",695000.0
5,3,3,3025,"4355 S Calumet Avenue Chicago, IL 60653",429000.0
6,2,2,1300,"1516 W 19th Street 2 Chicago, IL 60608",400000.0
7,2,2,1600,"5801 N Sheridan Road 5C Chicago, IL 60660",390000.0
8,2,2,1200,"1524 S SANGAMON Street 705 Chicago, IL 60608",369900.0
9,3,2,1325,"11661 S Keeler Avenue Alsip, IL 60803",294000.0
10,2,2,864,"3603 W 69th Place Chicago, IL 60629",200000.0
11,1,1,906,"4250 N Marine Drive 2711 Chicago, IL 60613",199000.0
12,4,2,1700,"13831 S Michigan Avenue Riverdale, IL 60827",185000.0
13,3,1,1150,"5948 S Justine Street Chicago, IL 60636",167900.0
14,2,1,1200,"449 E OAKWOOD Boulevard 1 Chicago, IL 60653",135000.0
15,3,1,1200,"7964 S Essex Avenue Chicago, IL 60617",124999.0
16,5,4,3100,"175 E Delaware Place 6805-6806 Chicago, IL 60611",1045000.0
17,2,2,1600,"811 S Lytle Street 510 Chicago, IL 60607",415000.0
18,3,2,1583,"8325 W Farragut Avenue Norridge, IL 60706",399900.0
19,3,2,1493,"7843 S Avalon Avenue Chicago, IL 60619",275000.0
20,3,2,1900,"7033 N Kedzie Avenue 1716 Chicago, IL 60645",249000.0
21,3,2,1100,"5423 N Sawyer Avenue Chicago, IL 60625",674000.0
22,3,2,1700,"2153 W BELMONT Avenue 2 Chicago, IL 60618",490000.0
23,1,2,1279,"1111 S Wabash Avenue 2504 Chicago, IL 60605",435000.0
24,3,2,2000,"5028 W Ohio Street Chicago, IL 60644",399900.0
25,3,2,1200,"723 W 31st Street 2 Chicago, IL 60616",359000.0
26,2,2,1890,"7755 S Calumet Avenue Chicago, IL 60619",296000.0
27,1,1,995,"10 E Ontario Street 3502 Chicago, IL 60611",289500.0
28,1,1,1200,"822 N California Avenue 1 Chicago, IL 60622",250000.0
29,4,2,1350,"10540 S Green Street Chicago, IL 60643",225000.0
30,4,2,1642,"8615 S Cregier Avenue Chicago, IL 60617",199900.0
31,2,1,942,"554 W 87 Street SW Chicago, IL 60620",169900.0
32,2,1,12550,"4800 S Lake Park Avenue Unit 705A Chicago, IL 60615",35000.0
33,3,2,2100,"950 W Huron Street 602 Chicago, IL 60642",850000.0
34,4,3,2800,"1011 E 62nd Street Chicago, IL 60637",679000.0
35,3,2,1900,"2401 W Winnemac Avenue 3E Chicago, IL 60625",675000.0
36,3,2,1283,"2495 N Milwaukee Avenue 3N Chicago, IL 60647",649900.0
37,4,1,2240,"5215 S Blackstone Avenue Chicago, IL 60615",620000.0
38,2,2,1148,"155 N HARBOR Drive 4702 Chicago, IL 60601",569500.0
39,2,3,1282,"4730 N Maria Court Chicago, IL 60656",535000.0
40,2,2,1224,"1629 S PRAIRIE Avenue 2509 Chicago, IL 60616",499000.0
41,4,3,3216,"5057 N Menard Avenue Chicago, IL 60630",449900.0
42,3,2,1050,"2407 N 77TH Avenue Elmwood Park, IL 60707",449000.0
43,3,2,1331,"4805 S Lockwood Avenue Chicago, IL 60638",430000.0
44,3,2,1800,"843 N Drake Avenue Chicago, IL 60651",429900.0
45,2,2,1285,"330 N Jefferson Street 1701 Chicago, IL 60661",425000.0
46,3,1,1100,"6132 N Nagle Avenue Chicago, IL 60646",390000.0
47,4,2,1281,"6124 S Kedvale Avenue Chicago, IL 60629",389999.0
48,1,1,950,"1200 W Monroe Street 812 Chicago, IL 60607",389900.0
49,2,2,1003,"320 E 21st Street 215 Chicago, IL 60616",389000.0
50,3,2,1164,"7844 S Trumbull Avenue Chicago, IL 60652",359900.0
51,3,2,2352,"3510 W 85th Street Chicago, IL 60652",354900.0
52,4,2,1716,"3410 W 85th Street Chicago, IL 60652",349900.0
53,2,2,1200,"1000 N Lake Shore Drive 408 Chicago, IL 60611",349000.0
54,3,4,1724,"8449 S Paulina Street Chicago, IL 60620",339900.0
55,2,2,2000,"6226 W Grace Street Chicago, IL 60634",320000.0
56,3,1,1239,"6323 S La Crosse Avenue Chicago, IL 60638",309999.0
57,3,3,1500,"9421 S Rhodes Avenue Chicago, IL 60619",309900.0
58,4,2,1695,"2915 N 73rd Avenue Elmwood Park, IL 60707",309900.0
59,2,2,1350,"2503 W Harrison Street 4 Chicago, IL 60612",299250.0
60,3,2,1800,"4040 W Carroll Avenue Chicago, IL 60624",295000.0
61,5,2,2051,"1329 W 71st Street Chicago, IL 60636",269900.0
62,4,3,1600,"56 W 76th Street Chicago, IL 60620",249999.0
63,3,1,2100,"5414 W 26TH Street Cicero, IL 60804",249000.0
64,1,1,705,"3550 N Lake Shore Drive 1822 Chicago, IL 60657",248500.0
65,2,1,950,"3100 W Berteau Avenue G Chicago, IL 60618",240000.0
66,2,1,700,"3435 W Berteau Avenue 1C Chicago, IL 60618",235000.0
67,5,2,1300,"8016 S Blackstone Avenue Chicago, IL 60619",234900.0
68,5,3,1900,"8454 S Muskegon Avenue Chicago, IL 60617",229747.0
69,3,2,1355,"163 E 122nd Place Chicago, IL 60628",194000.0
70,1,1,700,"2149 W Argyle Street 2 Chicago, IL 60625",189500.0
71,4,1,1265,"1506 W 72nd Place Chicago, IL 60636",184900.0
72,3,2,865,"Chicago, IL 60628",179900.0
73,3,1,1389,"14425 S Emerald Avenue Riverdale, IL 60827",125000.0
74,4,2,1326,"2620 E 91st Street Chicago, IL 60617",124900.0
75,3,2,1494,"372 E 69th Street 0 Chicago, IL 60637",39900.0
76,3,4,3030,"1040 N Lake Shore Drive Unit 27A Chicago, IL 60611",1487000.0
77,2,2,1250,"1360 N Sandburg Terrace Unit 2111C Chicago, IL 60610",389000.0
78,3,1,1319,"3101 W 101st Street Evergreen Park, IL 60805",364900.0
79,4,2,1750,"1728 W 90th Place Chicago, IL 60620",299900.0
80,1,1,990,"1729 W Erie Street Unit 1N Chicago, IL 60622",254999.0
81,2,1,800,"14536 Muskegon Avenue Unit 3D Burnham, IL 60633",80000.0
82,3,2,1350,"7443 W Irving Park Road , 4W Chicago, IL 60634",345000.0
83,10,6,9924,"5345 S University Avenue Chicago, IL 60615",1606000.0
84,5,5,3500,"1300 N Lake Shore Drive 22CD Chicago, IL 60610",1500000.0
85,4,2,3000,"540 N Hermitage Avenue Chicago, IL 60622",949000.0
86,3,3,1950,"2202 N LAKEWOOD Avenue Chicago, IL 60614",899900.0
87,6,4,4230,"3327 W Glenlake Avenue Chicago, IL 60659",899900.0
88,2,2,1610,"55 E Erie Street 2801 Chicago, IL 60611",824900.0
89,5,4,3620,"2615 W 102nd Place Chicago, IL 60655",765000.0
90,4,3,3500,"10230 S Leavitt Street Chicago, IL 60643",733000.0
91,3,3,2024,"5722 W Wilson Avenue Chicago, IL 60630",599000.0
92,4,3,2800,"5924 W Eddy Street Chicago, IL 60634",529900.0
93,2,2,1250,"175 E Delaware Place 4811 Chicago, IL 60611",499900.0
94,2,2,1365,"210 S DESPLAINES Street 312 Chicago, IL 60661",455000.0
95,3,2,1646,"1070 W 15th Street 347 Chicago, IL 60608",444900.0
96,2,2,1400,"8 E RANDOLPH Street 1904 Chicago, IL 60601",424000.0
97,5,3,1745,"3649 N Sayre Avenue Chicago, IL 60634",415000.0
98,1,1,1175,"110 N Peoria Street 302 Chicago, IL 60607",409000.0
99,3,2,1500,"2618 N 75th Court 3 Elmwood Park, IL 60707",399000.0
100,3,2,1850,"3862 S Lake Park Avenue 3N Chicago, IL 60653",390000.0
101,1,1,1093,"10 E ONTARIO Street 4101 Chicago, IL 60611",385000.0
102,2,2,1350,"2754 N Hampden Court 708 Chicago, IL 60614",379000.0
103,2,1,1250,"899 S Plymouth Court 509 Chicago, IL 60605",350000.0
104,4,3,3237,"7935 S Kimbark Avenue Chicago, IL 60619",340000.0
105,3,3,3246,"8151 S Woodlawn Avenue Chicago, IL 60619",329999.0
106,2,1,1205,"4229 N Bernard Street Chicago, IL 60618",325000.0
107,5,3,2400,"8307 S Morgan Street Chicago, IL 60620",314900.0
108,3,1,1200,"8448 S Kostner Avenue Chicago, IL 60652",309900.0
109,3,2,900,"231 W 18th Street 5B Chicago, IL 60616",300000.0
110,2,2,1200,"2001 S Calumet Avenue 305 Chicago, IL 60616",300000.0
111,6,3,3356,"4943 S Vincennes Avenue Chicago, IL 60615",299000.0
112,3,2,920,"5755 S Damen Avenue Chicago, IL 60636",290000.0
113,4,2,1501,"1633 E 86th Street Chicago, IL 60617",289999.0
114,2,1,650,"1449 N Ashland Avenue 2F Chicago, IL 60622",285000.0
115,2,1,680,"11000 S Springfield Avenue Chicago, IL 60655",278000.0
116,3,1,1121,"11743 S Lavergne Avenue Alsip, IL 60803",269900.0
117,3,2,1200,"5224 S Michigan Avenue 3 Chicago, IL 60615",260000.0
118,1,1,840,"125 S Jefferson Street 2206 Chicago, IL 60661",249900.0
119,2,2,1400,"9349 S Woodlawn Avenue Chicago, IL 60619",249900.0
120,3,3,1950,"9254 S Aberdeen Street Chicago, IL 60620",249000.0
121,3,1,1057,"11114 S Trumbull Avenue Chicago, IL 60655",235500.0
122,2,1,1000,"5464 W Higgins Avenue 3N Chicago, IL 60630",219900.0
123,2,1,1442,"5515 S University Avenue 302 Chicago, IL 60637",209900.0
124,3,1,768,"10149 S Crandon Avenue Chicago, IL 60617",205000.0
125,1,1,800,"880 N LAKE SHORE Drive 22D Chicago, IL 60611",199995.0
126,4,2,1378,"13905 S Wabash Avenue Riverdale, IL 60827",199000.0
127,2,1,1000,"7314 S Whipple Street Chicago, IL 60629",190000.0
128,1,1,850,"633 S Plymouth Court 307 Chicago, IL 60605",186000.0
129,1,1,800,"6301 N Sheridan Road 24G Chicago, IL 60660",159000.0
130,3,2,1500,"1219 W 74th Street Chicago, IL 60636",150000.0
131,1,1,800,"5505 N Winthrop Avenue 2-I Chicago, IL 60640",140000.0
